,feature_importances
NKG7,0.04266698104754733
CD6,0.03674445086271515
GZMK,0.03288494297481209
LTB,0.02945852066078862
SPOCK2,0.029294035502956367
CD4,0.02900704124743907
CCL5,0.02840914621620089
TIGIT,0.0281787365685312
C1QB,0.026789389158939792
C1QA,0.0240055807994837
GZMH,0.023831434082272562
CD79A,0.02367851150388052
CD8B,0.023518885426168736
CD8A,0.022996258723422938
C1QC,0.021589614989932032
FOXP3,0.02062562136037555
GZMA,0.020000936443408505
